"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-04-25 ~ 2025-04-30"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"1","서울특별시 서대문구 북가좌동","460","0460","0000","DMC이랜드해가든","84.9100","202504","30","61,000","-","9","개인","개인","2007","수색로 157","20250521","직거래","-","-"
"2","충청북도 청주시 서원구 사직동","931","0931","0000","푸르지오캐슬(101~117)","84.4000","202504","30","34,000","111","11","개인","법인","2010","예체로 68","-","직거래","-","25.05.15"
"3","대구광역시 북구 침산동","369-2","0369","0002","제일","59.8800","202504","30","15,400","102","13","개인","개인","1993","옥산로17길 50","-","직거래","-","25.05.15"
"4","부산광역시 해운대구 재송동","380-1","0380","0001","센텀동부센트레빌","84.9926","202504","30","46,900","105","9","개인","개인","2006","해운대로161번길 12","-","중개거래","부산 해운대구","25.05.15"
"5","충청남도 천안시 서북구 불당동","750","0750","0000","동일하이빌","84.9900","202504","30","40,500","-","3","개인","개인","2004","시청로 73","20250521","중개거래","충남 천안시 서북구","-"
"6","경기도 시흥시 정왕동","1850","1850","0000","요진","59.8560","202504","30","23,000","108","3","개인","개인","1997","중심상가로 77","-","중개거래","경기 시흥시","25.05.16"
"7","경상남도 김해시 안동","333","0333","0000","한일","84.8300","202504","30","15,600","101","6","개인","개인","1998","삼안로111번길 12","-","중개거래","경남 김해시","25.05.15"
"8","경상북도 구미시 형곡동","141-11","0141","0011","형곡주공3","32.4300","202504","30","6,600","312","1","개인","개인","1988","형곡로17길 10","-","중개거래","경북 구미시","25.05.16"
"9","부산광역시 해운대구 반송동","892","0892","0000","벽산삼협","59.9160","202504","30","11,500","103","1","개인","개인","1997","신반송로 29","-","중개거래","부산 해운대구","25.05.16"
"10","전북특별자치도 전주시 덕진구 호성동1가","731-4","0731","0004","신동아","59.3900","202504","30","10,000","바","4","개인","개인","1989","호성1길 29","-","중개거래","전북 전주시 덕진구","25.05.16"
"11","전라남도 영암군 삼호읍 용앙리","390-1","0390","0001","영암삼호퀸스빌2차","59.8044","202504","30","6,600","202","9","개인","개인","2006","삼호중앙로 129","-","중개거래","전남 영암군","25.05.07"
"12","광주광역시 광산구 신창동","1270","1270","0000","신창2차부영","84.7886","202504","30","22,000","202","2","개인","개인","2005","신창로71번길 33","-","중개거래","광주 광산구","25.05.16"
"13","대구광역시 달서구 대천동","413","0413","0000","월배힐스테이트","169.4606","202504","30","65,000","105","8","개인","개인","2008","조암남로 132","-","중개거래","대구 달서구","25.05.16"
"14","경상북도 포항시 남구 오천읍 용덕리","455","0455","0000","오천주은리버타운","59.8200","202504","30","8,000","101","8","개인","개인","2001","해병로 283","-","중개거래","경북 포항시 남구","25.05.16"
"15","경상남도 거제시 고현동","1069","1069","0000","거제양정대동피렌체","74.8936","202504","30","12,700","102호동","4","개인","개인","2004","중곡로2길 56","-","중개거래","경남 거제시","25.05.19"
"16","경상남도 양산시 동면 사송리","1164","1164","0000","사송더샵데시앙2차5단지","84.9865","202504","30","44,000","503동","23","개인","개인","2022","외송로 60","-","중개거래","경남 양산시","25.05.15"
"17","서울특별시 서초구 서초동","1492-5","1492","0005","서초트레져","216.0800","202504","30","225,000","-","1","개인","개인","2005","명달로 79","-","중개거래","서울 강남구","25.05.16"
"18","경상남도 하동군 하동읍 비파리","411","0411","0000","녹차마을","84.5199","202504","30","17,500","101","10","개인","개인","2009","산복2길 10","-","직거래","-","25.05.16"
"19","전북특별자치도 군산시 동흥남동","100","0100","0000","에듀힐아파트","84.9700","202504","30","16,000","104","12","개인","개인","2006","동흥남길 9","-","중개거래","전북 군산시","25.05.15"
"20","경기도 남양주시 금곡동","654","0654","0000","금강아파트","84.9350","202504","30","39,400","102","16","개인","개인","1997","홍유릉로248번길 21","-","중개거래","경기 남양주시","25.05.15"
"21","경기도 부천시 원미구 상동","399","0399","0000","반달마을(극동신라)","41.4400","202504","30","24,300","1841","2","개인","개인","1994","상일로 72","-","중개거래","경기 부천시 원미구","25.05.16"
"22","대구광역시 중구 동인동1가","362","0362","0000","삼승슈퍼타워","83.5038","202504","30","20,000","-","11","개인","개인","2007","신암로 6","20250520","중개거래","대구 중구","-"
"23","인천광역시 동구 송현동","6-26","0006","0026","송현주공","36.0000","202504","30","10,000","102","15","개인","개인","1993","인중로 653","-","중개거래","인천 동구","25.05.16"
